"","response","StartYear","meanProp","lower95Prop","upper95Prop","MeanYear"
"1","abundance","1990",0.464318339100346,0.418685121107266,0.512110726643599,1994.5
"2","abundance","1991",0.480133704735376,0.442896935933148,0.520891364902507,1995.5
"3","abundance","1992",0.514623376623377,0.476190476190476,0.54978354978355,1996.5
"4","abundance","1993",0.500727099236641,0.465648854961832,0.538167938931298,1997.5
"5","abundance","1994",0.51706960950764,0.480475382003396,0.551782682512733,1998.5
"6","abundance","1995",0.520880813953488,0.489825581395349,0.550872093023256,1999.5
"7","abundance","1996",0.532928169014084,0.501408450704225,0.563380281690141,2000.5
"8","abundance","1997",0.52845,0.5,0.557142857142857,2001.5
"9","abundance","1998",0.523647390691114,0.495028208744711,0.552891396332863,2002.5
"10","abundance","1999",0.521194926568758,0.492656875834446,0.551401869158878,2003.5
"11","abundance","2000",0.533169533169533,0.504914004914005,0.561425061425061,2004.5
"12","abundance","2001",0.530005773672055,0.504590069284065,0.556581986143187,2005.5
"13","abundance","2002",0.537155816435432,0.510138740661686,0.562433297758805,2006.5
"14","abundance","2003",0.536863720073665,0.511049723756906,0.562615101289134,2007.5
"15","abundance","2004",0.551184362139918,0.528374485596708,0.575308641975309,2008.5
"16","abundance","2005",0.550934557063049,0.528332003192338,0.575418994413408,2009.5
"17","abundance","2006",0.544087155963303,0.521406727828746,0.565749235474006,2010.5
"18","abundance","2007",0.527273195876289,0.505154639175258,0.549337260677467,2011.5
"19","abundance","2008",0.501664718772827,0.480642804967129,0.52081811541271,2012.5
"20","abundance","2009",0.482626596543952,0.459053343350864,0.50488354620586,2013.5
"21","abundance","2010",0.485056761268781,0.460767946577629,0.510016694490818,2014.5
"22","abundance","2011",0.452777881911903,0.428303655107779,0.477061855670103,2015.5
"26","FRed","1990",0.507231833910035,0.453287197231834,0.56401384083045,1994.5
"27","FRed","1991",0.512175977653631,0.46927374301676,0.55586592178771,1995.5
"28","FRed","1992",0.489660869565217,0.45,0.528260869565217,1996.5
"29","FRed","1993",0.494459770114943,0.459770114942529,0.530651340996169,1997.5
"30","FRed","1994",0.489434634974533,0.456663837011885,0.521222410865874,1998.5
"31","FRed","1995",0.519933139534884,0.484011627906977,0.553779069767442,1999.5
"32","FRed","1996",0.526311267605634,0.492957746478873,0.559154929577465,2000.5
"33","FRed","1997",0.532525714285714,0.502857142857143,0.562857142857143,2001.5
"34","FRed","1998",0.531423131170663,0.49925952045134,0.561354019746121,2002.5
"35","FRed","1999",0.532602136181575,0.503337783711616,0.563417890520694,2003.5
"36","FRed","2000",0.535920147420147,0.507371007371007,0.566339066339066,2004.5
"37","FRed","2001",0.520873988439306,0.492456647398844,0.548005780346821,2005.5
"38","FRed","2002",0.508699039487727,0.48025613660619,0.536819637139808,2006.5
"39","FRed","2003",0.499170349907919,0.47329650092081,0.524861878453039,2007.5
