"StartYear","country","TaskID"
1990,"France",1
1990,"Spain",2
1990,"Denmark",3
1990,"Germany",4
1990,"UK",5
1990,"Portugal",6
1990,"Netherlands",7
1990,"Belgium",8
1991,"France",9
1991,"Spain",10
1991,"Sweden",11
1991,"Denmark",12
1991,"Germany",13
1991,"UK",14
1991,"Portugal",15
1991,"Netherlands",16
1991,"Belgium",17
1992,"France",18
1992,"Spain",19
1992,"Sweden",20
1992,"Denmark",21
1992,"Germany",22
1992,"UK",23
1992,"Portugal",24
1992,"Netherlands",25
1992,"Latvia",26
1992,"Belgium",27
1993,"France",28
1993,"Spain",29
1993,"Sweden",30
1993,"Denmark",31
1993,"Germany",32
1993,"UK",33
1993,"Portugal",34
1993,"Netherlands",35
1993,"Latvia",36
1993,"Belgium",37
1994,"France",38
1994,"Spain",39
1994,"Sweden",40
1994,"Denmark",41
1994,"Germany",42
1994,"UK",43
1994,"Portugal",44
1994,"Netherlands",45
1994,"Latvia",46
1994,"Belgium",47
1995,"France",48
1995,"Spain",49
1995,"Sweden",50
1995,"Denmark",51
1995,"Germany",52
1995,"UK",53
1995,"Portugal",54
1995,"Netherlands",55
1995,"Latvia",56
1995,"Belgium",57
1996,"France",58
1996,"Spain",59
1996,"Sweden",60
1996,"Denmark",61
1996,"Germany",62
1996,"UK",63
1996,"Portugal",64
1996,"Netherlands",65
1996,"Finland",66
1996,"Latvia",67
1996,"Belgium",68
1997,"France",69
1997,"Spain",70
1997,"Sweden",71
1997,"Denmark",72
1997,"Germany",73
1997,"UK",74
1997,"Portugal",75
1997,"Netherlands",76
1997,"Finland",77
1997,"Latvia",78
1997,"Belgium",79
1998,"France",80
1998,"Spain",81
1998,"Sweden",82
1998,"Denmark",83
1998,"Germany",84
1998,"UK",85
1998,"Portugal",86
1998,"Netherlands",87
1998,"Finland",88
1998,"Latvia",89
1998,"Belgium",90
1999,"France",91
1999,"Spain",92
1999,"Sweden",93
1999,"Denmark",94
1999,"Germany",95
1999,"UK",96
1999,"Ireland",97
1999,"Norway",98
1999,"Portugal",99
1999,"Netherlands",100
1999,"Finland",101
1999,"Latvia",102
1999,"Belgium",103
2000,"France",104
2000,"Spain",105
2000,"Sweden",106
2000,"Denmark",107
2000,"Germany",108
2000,"UK",109
2000,"Ireland",110
2000,"Norway",111
2000,"Portugal",112
2000,"Netherlands",113
2000,"Finland",114
2000,"Latvia",115
2000,"Belgium",116
2001,"France",117
2001,"Spain",118
2001,"Sweden",119
2001,"Denmark",120
2001,"Germany",121
2001,"UK",122
2001,"Ireland",123
2001,"Norway",124
2001,"Hungary",125
2001,"Portugal",126
2001,"Netherlands",127
2001,"Finland",128
2001,"Latvia",129
2001,"Belgium",130
2002,"France",131
2002,"Cyprus",132
2002,"Spain",133
2002,"Sweden",134
2002,"Denmark",135
2002,"Germany",136
2002,"UK",137
2002,"Ireland",138
2002,"Norway",139
2002,"Hungary",140
2002,"Portugal",141
2002,"Netherlands",142
2002,"Finland",143
2002,"Latvia",144
2002,"Belgium",145
2003,"France",146
2003,"Cyprus",147
2003,"Spain",148
2003,"Sweden",149
2003,"Denmark",150
2003,"Germany",151
2003,"UK",152
2003,"Ireland",153
2003,"Norway",154
2003,"Hungary",155
2003,"Portugal",156
2003,"Netherlands",157
2003,"Finland",158
2003,"Latvia",159
2003,"Belgium",160
2004,"France",161
2004,"Cyprus",162
2004,"Spain",163
2004,"Sweden",164
2004,"Luxemburg",165
2004,"Denmark",166
2004,"Germany",167
2004,"UK",168
2004,"Ireland",169
2004,"Norway",170
2004,"Hungary",171
2004,"Portugal",172
2004,"Netherlands",173
2004,"Finland",174
2004,"Latvia",175
2004,"Belgium",176
2005,"France",177
2005,"Cyprus",178
2005,"Spain",179
2005,"Sweden",180
2005,"Luxemburg",181
2005,"Denmark",182
2005,"Germany",183
2005,"UK",184
2005,"Ireland",185
2005,"Norway",186
2005,"Hungary",187
2005,"Portugal",188
2005,"Netherlands",189
2005,"Finland",190
2005,"Latvia",191
2005,"Belgium",192
2006,"France",193
2006,"Estonia",194
2006,"Cyprus",195
2006,"Spain",196
2006,"Sweden",197
2006,"Luxemburg",198
2006,"Bulgaria",199
2006,"Denmark",200
